name;nummer;identity
Ablagerung / Müll / Abfall;6;StoerungsArtComposite-20120413-2023-3556
Umbruch;12;StoerungsArtComposite-20120413-2023-3562
Abbau / Abgrabung;4;StoerungsArtComposite-20120413-2023-3554
Gewässerverunreinigung;19;StoerungsArtComposite-20120413-2023-3569
Abholzung / Rodung;11;StoerungsArtComposite-20120413-2023-3561
Aufschüttung / Einebnung;5;StoerungsArtComposite-20120413-2023-3555
Erosion;21;StoerungsArtComposite-20120413-2023-3571
Immissionsschäden;20;StoerungsArtComposite-20120413-2023-3570
Baumaßnahmen / Ausbau;2;StoerungsArtComposite-20120413-2023-3552
Flächenverlust;22;StoerungsArtComposite-20120413-2023-3572
Entwässerung;13;StoerungsArtComposite-20120413-2023-3563
sonstige Ablagerung;7;StoerungsArtComposite-20120413-2023-3557
Zerschneidung;23;StoerungsArtComposite-20120413-2023-3573
Aufgabe der Nutzung;8;StoerungsArtComposite-20120413-2023-3558
Verkehr;17;StoerungsArtComposite-20120413-2023-3567
Freizeitaktivitäten;16;StoerungsArtComposite-20120413-2023-3566
Intensivierung der Nutzung;9;StoerungsArtComposite-20120413-2023-3559
Aufforstung / Bepflanzung;10;StoerungsArtComposite-20120413-2023-3560
Biozideinsatz;15;StoerungsArtComposite-20120413-2023-3565
Gewässerausbau;3;StoerungsArtComposite-20120413-2023-3553
Eutrophierung;14;StoerungsArtComposite-20120413-2023-3564
Schadstoffeintrag;18;StoerungsArtComposite-20120413-2023-3568
keine Beeinträchtigung;1;StoerungsArtComposite-20120413-2023-3551
sonstige Beeinträchtigung;24;StoerungsArtComposite-20120413-2023-3574
Ausbreitung von Neophyten;25;StoerungsArtComposite-20130322-1123-0
Landwirtschaft;26;StoerungsArtComposite-20130322-1124-0
